RHEA_ID	DIRECTION	MASTER_ID	ID
24065	LR	24064	R-HSA-189439.1
24153	LR	24152	R-HSA-174389.2
24249	LR	24248	R-HSA-389684.3
24249	LR	24248	R-HSA-904864.3
24293	LR	24292	R-HSA-70542.3
24298	RL	24296	R-HSA-73571.2
24385	LR	24384	R-HSA-197271.2
24401	LR	24400	R-HSA-73548.4
24402	RL	24400	R-HSA-75125.4
24405	LR	24404	R-HSA-6788597.1
24405	LR	24404	R-HSA-74180.2
24409	LR	24408	R-HSA-5693346.1
24409	LR	24408	R-HSA-74241.3
24505	LR	24504	R-HSA-1237119.1
24510	RL	24508	R-HSA-2161651.2
24521	LR	24520	R-HSA-70940.3
24577	LR	24576	R-HSA-449937.2
24577	LR	24576	R-HSA-6788912.1
24577	LR	24576	R-HSA-71732.4
24593	LR	24592	R-HSA-1483190.1
24601	LR	24600	R-HSA-1614544.2
24617	LR	24616	R-HSA-5693390.1
24617	LR	24616	R-HSA-5696822.1
24617	LR	24616	R-HSA-6810594.1
24617	LR	24616	R-HSA-8862137.2
24618	RL	24616	R-HSA-804969.2
24675	LR	24674	R-HSA-73598.3
24735	LR	24734	R-HSA-880033.1
24736	RL	24734	R-HSA-880002.1
24814	LR	24813	R-HSA-70723.2
24814	LR	24813	R-HSA-70724.2
24815	RL	24813	R-HSA-508179.1
24815	RL	24813	R-HSA-508189.1
25035	RL	25033	R-HSA-2464803.1
25035	RL	25033	R-HSA-2464822.1
25035	RL	25033	R-HSA-2465940.1
25035	RL	25033	R-HSA-5419165.1
25035	RL	25033	R-HSA-5615668.1
25035	RL	25033	R-HSA-5623643.1
25095	LR	25094	R-HSA-73548.4
25096	RL	25094	R-HSA-75125.4
25105	LR	25104	R-HSA-964958.1
25109	LR	25108	R-HSA-964962.1
25144	LR	25143	R-HSA-71217.2
25157	LR	25156	R-HSA-196753.2
25161	LR	25160	R-HSA-70654.2
25162	RL	25160	R-HSA-70666.2
25218	LR	25217	R-HSA-209792.1
25254	LR	25253	R-HSA-4085028.1
25266	LR	25265	R-HSA-141200.1
25270	LR	25269	R-HSA-209903.1
25278	LR	25277	R-HSA-111955.1
25278	LR	25277	R-HSA-111962.1
25278	LR	25277	R-HSA-162425.3
25278	LR	25277	R-HSA-418553.2
25291	LR	25290	R-HSA-71707.1
25295	LR	25294	R-HSA-5696091.1
25295	LR	25294	R-HSA-71691.1
25295	LR	25294	R-HSA-71723.1
25312	LR	25311	R-HSA-389842.4
25356	LR	25355	R-HSA-389611.1
25426	RL	25424	R-HSA-74215.3
25481	LR	25480	R-HSA-74177.3
25569	LR	25568	R-HSA-8869606.1
25569	LR	25568	R-HSA-8869607.1
25577	LR	25576	R-HSA-189423.1
25581	LR	25580	R-HSA-6787677.1
25626	LR	25625	R-HSA-5696131.1
25801	LR	25800	R-HSA-141351.1
25805	LR	25804	R-HSA-141341.1
25813	LR	25812	R-HSA-141348.1
26137	LR	26136	R-HSA-5693742.1
26137	LR	26136	R-HSA-5693751.1
26390	LR	26389	R-HSA-5164399.1
26427	LR	26426	R-HSA-504054.2
26427	LR	26426	R-HSA-73647.2
26560	RL	26558	R-HSA-77314.2
27319	LR	27318	R-HSA-109529.1
27455	RL	27453	R-HSA-209921.1
27515	LR	27514	R-HSA-428664.1
27519	LR	27518	R-HSA-428690.1
27519	LR	27518	R-HSA-428696.1
27519	LR	27518	R-HSA-428701.1
27671	LR	27670	R-HSA-1855154.2
27691	LR	27690	R-HSA-482619.2
27692	RL	27690	R-HSA-482621.2
27787	LR	27786	R-HSA-71401.2
27803	LR	27802	R-HSA-2162253.2
27952	RL	27950	R-HSA-352103.1
27952	RL	27950	R-HSA-352107.1
28043	LR	28042	R-HSA-71397.2
28151	LR	28150	R-HSA-351208.1
28191	LR	28190	R-HSA-74241.3
28235	LR	28234	R-HSA-70655.2
28236	RL	28234	R-HSA-70667.3
28343	LR	28342	R-HSA-2509838.3
28355	LR	28354	R-HSA-77345.2
28359	LR	28358	R-HSA-77274.2
28611	LR	28610	R-HSA-2509831.3
28622	RL	27318	R-HSA-109527.1
28696	LR	28695	R-HSA-2752067.1
